Гeнeрaтoр примeрoв пo aлгeбрe (c) Алоян

Вариант №1
(x*28+168)*9+2772=21168,  x = 67
(x*32-128)*12+10752=36864,  x = 72
(x*32-128)*12-10752=36864,  x = 128
(x*32-128)/12+10752=36864,  x = 9796
(x*32-128)/12-10752=36864,  x = 17860
(x/32+128)*12+10752=36864,  x = 65536
(x/32+128)*12-10752=36864,  x = 122880
(x/32+128)/12+10752=36864,  x = 10022912
(x/32+128)/12-10752=36864,  x = 18280448
(x/32-128)*12+10752=36864,  x = 73728
(x/32-128)*12-10752=36864,  x = 131072
(x/32-128)/12+10752=36864,  x = 10031104
(x/32-128)/12-10752=36864,  x = 18288640

Вариант №76
(x*37+111)*24+18648=163392,  x = 160
(x*37+111)*24-18648=163392,  x = 202
(x*37+111)/24+18648=163392,  x = 93885
(x*37+111)/24-18648=163392,  x = 118077
(x*37-111)*24+18648=163392,  x = 166
(x*37-111)*24-18648=163392,  x = 208
(x*37-111)/24+18648=163392,  x = 93891
(x*37-111)/24-18648=163392,  x = 118083
(x/37+111)*24+18648=163392,  x = 219040
(x/37+111)*24-18648=163392,  x = 276538
(x/37+111)/24+18648=163392,  x = 128528565
(x/37+111)/24-18648=163392,  x = 161647413
(x/37-111)*24+18648=163392,  x = 227254
(x/37-111)*24-18648=163392,  x = 284752
(x/37-111)/24+18648=163392,  x = 128536779
(x/37-111)/24-18648=163392,  x = 161655627

Вариант №77
(x*39+156)*14+6006=46956,  x = 71
(x*39+156)*14-6006=46956,  x = 93
(x*39+156)/14+6006=46956,  x = 14696
(x*39+156)/14-6006=46956,  x = 19008
(x*39-156)*14+6006=46956,  x = 79
(x*39-156)*14-6006=46956,  x = 101
(x*39-156)/14+6006=46956,  x = 14704
(x*39-156)/14-6006=46956,  x = 19016
(x/39+156)*14+6006=46956,  x = 107991
(x/39+156)*14-6006=46956,  x = 141453
(x/39+156)/14+6006=46956,  x = 22352616
(x/39+156)/14-6006=46956,  x = 28911168
(x/39-156)*14+6006=46956,  x = 120159
(x/39-156)*14-6006=46956,  x = 153621
(x/39-156)/14+6006=46956,  x = 22364784
(x/39-156)/14-6006=46956,  x = 28923336

Вариант №78
(x*20+60)*8+480=8160,  x = 45
(x*20+60)*8-480=8160,  x = 51
(x*20+60)/8+480=8160,  x = 3069
(x*20+60)/8-480=8160,  x = 3453
(x*20-60)*8+480=8160,  x = 51
(x*20-60)*8-480=8160,  x = 57
(x*20-60)/8+480=8160,  x = 3075
(x*20-60)/8-480=8160,  x = 3459
(x/20+60)*8+480=8160,  x = 18000
(x/20+60)*8-480=8160,  x = 20400
(x/20+60)/8+480=8160,  x = 1227600
(x/20+60)/8-480=8160,  x = 1381200
(x/20-60)*8+480=8160,  x = 20400
(x/20-60)*8-480=8160,  x = 22800
(x/20-60)/8+480=8160,  x = 1230000
(x/20-60)/8-480=8160,  x = 1383600

Вариант №79
(x*38+76)*10+1900=18620,  x = 42
(x*38+76)*10-1900=18620,  x = 52
(x*38+76)/10+1900=18620,  x = 4398
(x*38+76)/10-1900=18620,  x = 5398
(x*38-76)*10+1900=18620,  x = 46
(x*38-76)*10-1900=18620,  x = 56
(x*38-76)/10+1900=18620,  x = 4402
(x*38-76)/10-1900=18620,  x = 5402
(x/38+76)*10+1900=18620,  x = 60648
(x/38+76)*10-1900=18620,  x = 75088
(x/38+76)/10+1900=18620,  x = 6350712
(x/38+76)/10-1900=18620,  x = 7794712
(x/38-76)*10+1900=18620,  x = 66424
(x/38-76)*10-1900=18620,  x = 80864
(x/38-76)/10+1900=18620,  x = 6356488
(x/38-76)/10-1900=18620,  x = 7800488

Вариант №80
(x*31+62)*10+3410=17670,  x = 44
(x*31+62)*10-3410=17670,  x = 66
(x*31+62)/10+3410=17670,  x = 4598
(x*31+62)/10-3410=17670,  x = 6798
(x*31-62)*10+3410=17670,  x = 48
(x*31-62)*10-3410=17670,  x = 70
(x*31-62)/10+3410=17670,  x = 4602
(x*31-62)/10-3410=17670,  x = 6802
(x/31+62)*10+3410=17670,  x = 42284
(x/31+62)*10-3410=17670,  x = 63426
(x/31+62)/10+3410=17670,  x = 4418678
(x/31+62)/10-3410=17670,  x = 6532878
(x/31-62)*10+3410=17670,  x = 46128
(x/31-62)*10-3410=17670,  x = 67270
(x/31-62)/10+3410=17670,  x = 4422522
(x/31-62)/10-3410=17670,  x = 6536722

Вариант №81
(x*38+152)*11+6688=30096,  x = 52
(x*38+152)*11-6688=30096,  x = 84
(x*38+152)/11+6688=30096,  x = 6772
(x*38+152)/11-6688=30096,  x = 10644
(x*38-152)*11+6688=30096,  x = 60
(x*38-152)*11-6688=30096,  x = 92
(x*38-152)/11+6688=30096,  x = 6780
(x*38-152)/11-6688=30096,  x = 10652
(x/38+152)*11+6688=30096,  x = 75088
(x/38+152)*11-6688=30096,  x = 121296
(x/38+152)/11+6688=30096,  x = 9778768
(x/38+152)/11-6688=30096,  x = 15369936
(x/38-152)*11+6688=30096,  x = 86640
(x/38-152)*11-6688=30096,  x = 132848
(x/38-152)/11+6688=30096,  x = 9790320
(x/38-152)/11-6688=30096,  x = 15381488

Вариант №82
(x*30+60)*13+10530=31200,  x = 51
(x*30+60)*13-10530=31200,  x = 105
(x*30+60)/13+10530=31200,  x = 8955
(x*30+60)/13-10530=31200,  x = 18081
(x*30-60)*13+10530=31200,  x = 55
(x*30-60)*13-10530=31200,  x = 109
(x*30-60)/13+10530=31200,  x = 8959
(x*30-60)/13-10530=31200,  x = 18085
(x/30+60)*13+10530=31200,  x = 45900
(x/30+60)*13-10530=31200,  x = 94500
(x/30+60)/13+10530=31200,  x = 8059500
(x/30+60)/13-10530=31200,  x = 16272900
(x/30-60)*13+10530=31200,  x = 49500
(x/30-60)*13-10530=31200,  x = 98100
(x/30-60)/13+10530=31200,  x = 8063100
(x/30-60)/13-10530=31200,  x = 16276500

Вариант №83
(x*14+42)*27+10206=51786,  x = 107
(x*14+42)*27-10206=51786,  x = 161
(x*14+42)/27+10206=51786,  x = 80187
(x*14+42)/27-10206=51786,  x = 119553
(x*14-42)*27+10206=51786,  x = 113
(x*14-42)*27-10206=51786,  x = 167
(x*14-42)/27+10206=51786,  x = 80193
(x*14-42)/27-10206=51786,  x = 119559
(x/14+42)*27+10206=51786,  x = 20972
(x/14+42)*27-10206=51786,  x = 31556
(x/14+42)/27+10206=51786,  x = 15716652
(x/14+42)/27-10206=51786,  x = 23432388
(x/14-42)*27+10206=51786,  x = 22148
(x/14-42)*27-10206=51786,  x = 32732
(x/14-42)/27+10206=51786,  x = 15717828
(x/14-42)/27-10206=51786,  x = 23433564

Вариант №84
(x*17+34)*29+7395=69020,  x = 123
(x*17+34)*29-7395=69020,  x = 153
(x*17+34)/29+7395=69020,  x = 105123
(x*17+34)/29-7395=69020,  x = 130353
(x*17-34)*29+7395=69020,  x = 127
(x*17-34)*29-7395=69020,  x = 157
(x*17-34)/29+7395=69020,  x = 105127
(x*17-34)/29-7395=69020,  x = 130357
(x/17+34)*29+7395=69020,  x = 35547
(x/17+34)*29-7395=69020,  x = 44217
(x/17+34)/29+7395=69020,  x = 30380547
(x/17+34)/29-7395=69020,  x = 37672017
(x/17-34)*29+7395=69020,  x = 36703
(x/17-34)*29-7395=69020,  x = 45373
(x/17-34)/29+7395=69020,  x = 30381703
(x/17-34)/29-7395=69020,  x = 37673173

Вариант №85
(x*24+96)*10+5520=22080,  x = 65
(x*24+96)*10-5520=22080,  x = 111
(x*24+96)/10+5520=22080,  x = 6896
(x*24+96)/10-5520=22080,  x = 11496
(x*24-96)*10+5520=22080,  x = 73
(x*24-96)*10-5520=22080,  x = 119
(x*24-96)/10+5520=22080,  x = 6904
(x*24-96)/10-5520=22080,  x = 11504
(x/24+96)*10+5520=22080,  x = 37440
(x/24+96)*10-5520=22080,  x = 63936
(x/24+96)/10+5520=22080,  x = 3972096
(x/24+96)/10-5520=22080,  x = 6621696
(x/24-96)*10+5520=22080,  x = 42048
(x/24-96)*10-5520=22080,  x = 68544
(x/24-96)/10+5520=22080,  x = 3976704
(x/24-96)/10-5520=22080,  x = 6626304

Вариант №86
(x*28+84)*22+4928=60368,  x = 87
(x*28+84)*22-4928=60368,  x = 103
(x*28+84)/22+4928=60368,  x = 43557
(x*28+84)/22-4928=60368,  x = 51301
(x*28-84)*22+4928=60368,  x = 93
(x*28-84)*22-4928=60368,  x = 109
(x*28-84)/22+4928=60368,  x = 43563
(x*28-84)/22-4928=60368,  x = 51307
(x/28+84)*22+4928=60368,  x = 68208
(x/28+84)*22-4928=60368,  x = 80752
(x/28+84)/22+4928=60368,  x = 34148688
(x/28+84)/22-4928=60368,  x = 40219984
(x/28-84)*22+4928=60368,  x = 72912
(x/28-84)*22-4928=60368,  x = 85456
(x/28-84)/22+4928=60368,  x = 34153392
(x/28-84)/22-4928=60368,  x = 40224688

Вариант №87
(x*18+90)*4+1656=3672,  x = 23
(x*18+90)*4-1656=3672,  x = 69
(x*18+90)/4+1656=3672,  x = 443
(x*18+90)/4-1656=3672,  x = 1179
(x*18-90)*4+1656=3672,  x = 33
(x*18-90)*4-1656=3672,  x = 79
(x*18-90)/4+1656=3672,  x = 453
(x*18-90)/4-1656=3672,  x = 1189
(x/18+90)*4+1656=3672,  x = 7452
(x/18+90)*4-1656=3672,  x = 22356
(x/18+90)/4+1656=3672,  x = 143532
(x/18+90)/4-1656=3672,  x = 381996
(x/18-90)*4+1656=3672,  x = 10692
(x/18-90)*4-1656=3672,  x = 25596
(x/18-90)/4+1656=3672,  x = 146772
(x/18-90)/4-1656=3672,  x = 385236

Вариант №88
(x*11+33)*27+5643=42471,  x = 121
(x*11+33)*27-5643=42471,  x = 159
(x*11+33)/27+5643=42471,  x = 90393
(x*11+33)/27-5643=42471,  x = 118095
(x*11-33)*27+5643=42471,  x = 127
(x*11-33)*27-5643=42471,  x = 165
(x*11-33)/27+5643=42471,  x = 90399
(x*11-33)/27-5643=42471,  x = 118101
(x/11+33)*27+5643=42471,  x = 14641
(x/11+33)*27-5643=42471,  x = 19239
(x/11+33)/27+5643=42471,  x = 10937553
(x/11+33)/27-5643=42471,  x = 14289495
(x/11-33)*27+5643=42471,  x = 15367
(x/11-33)*27-5643=42471,  x = 19965
(x/11-33)/27+5643=42471,  x = 10938279
(x/11-33)/27-5643=42471,  x = 14290221

Вариант №89
(x*38+152)*5+3230=13300,  x = 49
(x*38+152)*5-3230=13300,  x = 83
(x*38+152)/5+3230=13300,  x = 1321
(x*38+152)/5-3230=13300,  x = 2171
(x*38-152)*5+3230=13300,  x = 57
(x*38-152)*5-3230=13300,  x = 91
(x*38-152)/5+3230=13300,  x = 1329
(x*38-152)/5-3230=13300,  x = 2179
(x/38+152)*5+3230=13300,  x = 70756
(x/38+152)*5-3230=13300,  x = 119852
(x/38+152)/5+3230=13300,  x = 1907524
(x/38+152)/5-3230=13300,  x = 3134924
(x/38-152)*5+3230=13300,  x = 82308
(x/38-152)*5-3230=13300,  x = 131404
(x/38-152)/5+3230=13300,  x = 1919076
(x/38-152)/5-3230=13300,  x = 3146476

Вариант №90
(x*13+26)*24+3120=46800,  x = 138
(x*13+26)*24-3120=46800,  x = 158
(x*13+26)/24+3120=46800,  x = 80638
(x*13+26)/24-3120=46800,  x = 92158
(x*13-26)*24+3120=46800,  x = 142
(x*13-26)*24-3120=46800,  x = 162
(x*13-26)/24+3120=46800,  x = 80642
(x*13-26)/24-3120=46800,  x = 92162
(x/13+26)*24+3120=46800,  x = 23322
(x/13+26)*24-3120=46800,  x = 26702
(x/13+26)/24+3120=46800,  x = 13627822
(x/13+26)/24-3120=46800,  x = 15574702
(x/13-26)*24+3120=46800,  x = 23998
(x/13-26)*24-3120=46800,  x = 27378
(x/13-26)/24+3120=46800,  x = 13628498
(x/13-26)/24-3120=46800,  x = 15575378

Вариант №91
(x*14+28)*28+9408=59976,  x = 127
(x*14+28)*28-9408=59976,  x = 175
(x*14+28)/28+9408=59976,  x = 101134
(x*14+28)/28-9408=59976,  x = 138766
(x*14-28)*28+9408=59976,  x = 131
(x*14-28)*28-9408=59976,  x = 179
(x*14-28)/28+9408=59976,  x = 101138
(x*14-28)/28-9408=59976,  x = 138770
(x/14+28)*28+9408=59976,  x = 24892
(x/14+28)*28-9408=59976,  x = 34300
(x/14+28)/28+9408=59976,  x = 19822264
(x/14+28)/28-9408=59976,  x = 27198136
(x/14-28)*28+9408=59976,  x = 25676
(x/14-28)*28-9408=59976,  x = 35084
(x/14-28)/28+9408=59976,  x = 19823048
(x/14-28)/28-9408=59976,  x = 27198920

Вариант №92
(x*39+156)*23+10764=139932,  x = 140
(x*39+156)*23-10764=139932,  x = 164
(x*39+156)/23+10764=139932,  x = 76172
(x*39+156)/23-10764=139932,  x = 88868
(x*39-156)*23+10764=139932,  x = 148
(x*39-156)*23-10764=139932,  x = 172
(x*39-156)/23+10764=139932,  x = 76180
(x*39-156)/23-10764=139932,  x = 88876
(x/39+156)*23+10764=139932,  x = 212940
(x/39+156)*23-10764=139932,  x = 249444
(x/39+156)/23+10764=139932,  x = 115857612
(x/39+156)/23-10764=139932,  x = 135168228
(x/39-156)*23+10764=139932,  x = 225108
(x/39-156)*23-10764=139932,  x = 261612
(x/39-156)/23+10764=139932,  x = 115869780
(x/39-156)/23-10764=139932,  x = 135180396

Вариант №93
(x*35+175)*10+3150=26950,  x = 63
(x*35+175)*10-3150=26950,  x = 81
(x*35+175)/10+3150=26950,  x = 6795
(x*35+175)/10-3150=26950,  x = 8595
(x*35-175)*10+3150=26950,  x = 73
(x*35-175)*10-3150=26950,  x = 91
(x*35-175)/10+3150=26950,  x = 6805
(x*35-175)/10-3150=26950,  x = 8605
(x/35+175)*10+3150=26950,  x = 77175
(x/35+175)*10-3150=26950,  x = 99225
(x/35+175)/10+3150=26950,  x = 8323875
(x/35+175)/10-3150=26950,  x = 10528875
(x/35-175)*10+3150=26950,  x = 89425
(x/35-175)*10-3150=26950,  x = 111475
(x/35-175)/10+3150=26950,  x = 8336125
(x/35-175)/10-3150=26950,  x = 10541125

Вариант №94
(x*10+40)*10+1800=7000,  x = 48
(x*10+40)*10-1800=7000,  x = 84
(x*10+40)/10+1800=7000,  x = 5196
(x*10+40)/10-1800=7000,  x = 8796
(x*10-40)*10+1800=7000,  x = 56
(x*10-40)*10-1800=7000,  x = 92
(x*10-40)/10+1800=7000,  x = 5204
(x*10-40)/10-1800=7000,  x = 8804
(x/10+40)*10+1800=7000,  x = 4800
(x/10+40)*10-1800=7000,  x = 8400
(x/10+40)/10+1800=7000,  x = 519600
(x/10+40)/10-1800=7000,  x = 879600
(x/10-40)*10+1800=7000,  x = 5600
(x/10-40)*10-1800=7000,  x = 9200
(x/10-40)/10+1800=7000,  x = 520400
(x/10-40)/10-1800=7000,  x = 880400

Вариант №95
(x*11+33)*16+3168=14960,  x = 64
(x*11+33)*16-3168=14960,  x = 100
(x*11+33)/16+3168=14960,  x = 17149
(x*11+33)/16-3168=14960,  x = 26365
(x*11-33)*16+3168=14960,  x = 70
(x*11-33)*16-3168=14960,  x = 106
(x*11-33)/16+3168=14960,  x = 17155
(x*11-33)/16-3168=14960,  x = 26371
(x/11+33)*16+3168=14960,  x = 7744
(x/11+33)*16-3168=14960,  x = 12100
(x/11+33)/16+3168=14960,  x = 2075029
(x/11+33)/16-3168=14960,  x = 3190165
(x/11-33)*16+3168=14960,  x = 8470
(x/11-33)*16-3168=14960,  x = 12826
(x/11-33)/16+3168=14960,  x = 2075755
(x/11-33)/16-3168=14960,  x = 3190891

Вариант №96
(x*39+78)*23+10764=143520,  x = 146
(x*39+78)*23-10764=143520,  x = 170
(x*39+78)/23+10764=143520,  x = 78290
(x*39+78)/23-10764=143520,  x = 90986
(x*39-78)*23+10764=143520,  x = 150
(x*39-78)*23-10764=143520,  x = 174
(x*39-78)/23+10764=143520,  x = 78294
(x*39-78)/23-10764=143520,  x = 90990
(x/39+78)*23+10764=143520,  x = 222066
(x/39+78)*23-10764=143520,  x = 258570
(x/39+78)/23+10764=143520,  x = 119079090
(x/39+78)/23-10764=143520,  x = 138389706
(x/39-78)*23+10764=143520,  x = 228150
(x/39-78)*23-10764=143520,  x = 264654
(x/39-78)/23+10764=143520,  x = 119085174
(x/39-78)/23-10764=143520,  x = 138395790

Вариант №97
(x*38+114)*4+912=5928,  x = 30
(x*38+114)*4-912=5928,  x = 42
(x*38+114)/4+912=5928,  x = 525
(x*38+114)/4-912=5928,  x = 717
(x*38-114)*4+912=5928,  x = 36
(x*38-114)*4-912=5928,  x = 48
(x*38-114)/4+912=5928,  x = 531
(x*38-114)/4-912=5928,  x = 723
(x/38+114)*4+912=5928,  x = 43320
(x/38+114)*4-912=5928,  x = 60648
(x/38+114)/4+912=5928,  x = 758100
(x/38+114)/4-912=5928,  x = 1035348
(x/38-114)*4+912=5928,  x = 51984
(x/38-114)*4-912=5928,  x = 69312
(x/38-114)/4+912=5928,  x = 766764
(x/38-114)/4-912=5928,  x = 1044012

Вариант №98
(x*21+63)*20+5880=41580,  x = 82
(x*21+63)*20-5880=41580,  x = 110
(x*21+63)/20+5880=41580,  x = 33997
(x*21+63)/20-5880=41580,  x = 45197
(x*21-63)*20+5880=41580,  x = 88
(x*21-63)*20-5880=41580,  x = 116
(x*21-63)/20+5880=41580,  x = 34003
(x*21-63)/20-5880=41580,  x = 45203
(x/21+63)*20+5880=41580,  x = 36162
(x/21+63)*20-5880=41580,  x = 48510
(x/21+63)/20+5880=41580,  x = 14992677
(x/21+63)/20-5880=41580,  x = 19931877
(x/21-63)*20+5880=41580,  x = 38808
(x/21-63)*20-5880=41580,  x = 51156
(x/21-63)/20+5880=41580,  x = 14995323
(x/21-63)/20-5880=41580,  x = 19934523

Вариант №99
(x*29+87)*21+12180=99267,  x = 140
(x*29+87)*21-12180=99267,  x = 180
(x*29+87)/21+12180=99267,  x = 63060
(x*29+87)/21-12180=99267,  x = 80700
(x*29-87)*21+12180=99267,  x = 146
(x*29-87)*21-12180=99267,  x = 186
(x*29-87)/21+12180=99267,  x = 63066
(x*29-87)/21-12180=99267,  x = 80706
(x/29+87)*21+12180=99267,  x = 117740
(x/29+87)*21-12180=99267,  x = 151380
(x/29+87)/21+12180=99267,  x = 53033460
(x/29+87)/21-12180=99267,  x = 67868700
(x/29-87)*21+12180=99267,  x = 122786
(x/29-87)*21-12180=99267,  x = 156426
(x/29-87)/21+12180=99267,  x = 53038506
(x/29-87)/21-12180=99267,  x = 67873746

Вариант №100
(x*31+93)*23+20677=118358,  x = 134
(x*31+93)*23-20677=118358,  x = 192
(x*31+93)/23+20677=118358,  x = 72470
(x*31+93)/23-20677=118358,  x = 103152
(x*31-93)*23+20677=118358,  x = 140
(x*31-93)*23-20677=118358,  x = 198
(x*31-93)/23+20677=118358,  x = 72476
(x*31-93)/23-20677=118358,  x = 103158
(x/31+93)*23+20677=118358,  x = 128774
(x/31+93)*23-20677=118358,  x = 184512
(x/31+93)/23+20677=118358,  x = 69643670
(x/31+93)/23-20677=118358,  x = 99129072
(x/31-93)*23+20677=118358,  x = 134540
(x/31-93)*23-20677=118358,  x = 190278
(x/31-93)/23+20677=118358,  x = 69649436
(x/31-93)/23-20677=118358,  x = 99134838
